State,pcgdp1940,pcgdp1950,pcgdp1960,pcgdp1970,pcgdp1980,pcgdp1990,pcgdp2000,hanson03,hanson98,esquivel99,inegi,inegi2
Aguascalientes,10384.000,6234.000,8714.000,16078.000,21022.000,20787.000,27782.000,2.000,2.000,3.000,4.000,4.000
Baja California,22361.000,20977.000,17865.000,25321.000,29283.000,26839.000,29855.000,1.000,1.000,5.000,1.000,1.000
Baja California Sur,9573.000,16013.000,16707.000,24384.000,29038.000,25842.000,26103.000,2.000,2.000,6.000,1.000,1.000
Campeche,3758.000,4929.000,5925.000,10274.000,12166.000,51123.000,36163.000,6.000,5.000,4.000,5.000,5.000
Chiapas,2934.000,4138.000,5280.000,7015.000,16200.000,8637.000,8684.000,5.000,5.000,7.000,5.000,5.000
Chihuahua,8578.000,13997.000,16265.000,19178.000,23399.000,25332.000,30735.000,1.000,1.000,5.000,1.000,2.000
Coahuila,8537.000,9673.000,12318.000,20562.000,25688.000,26084.000,28460.000,1.000,1.000,5.000,2.000,2.000
Colima,6909.000,6049.000,6036.000,12551.000,17427.000,18313.000,21358.000,3.000,3.000,6.000,4.000,4.000
Distrito Federal,17816.000,17119.000,23174.000,32386.000,42028.000,43810.000,54349.000,4.000,4.000,1.000,3.000,3.000
Durango,12132.000,8859.000,9323.000,12700.000,16726.000,17353.000,17379.000,2.000,2.000,3.000,1.000,2.000
Guanajuato,4359.000,5686.000,8209.000,11635.000,13864.000,13607.000,15585.000,3.000,3.000,3.000,4.000,4.000
Guerrero,2181.000,3629.000,4991.000,6497.000,8727.000,9084.000,11820.000,5.000,5.000,7.000,5.000,5.000
Hidalgo,4414.000,5194.000,6399.000,7767.000,12391.000,13091.000,12348.000,3.000,3.000,2.000,3.000,3.000
Jalisco,5309.000,8232.000,9953.000,16288.000,20659.000,20133.000,21610.000,3.000,3.000,6.000,4.000,4.000
Mexico,3408.000,4972.000,9053.000,17164.000,20165.000,18547.000,16322.000,4.000,4.000,1.000,3.000,3.000
Michoacan,3327.000,5272.000,5244.000,8109.000,11206.000,10980.000,11838.000,3.000,3.000,7.000,4.000,4.000
Morelos,6936.000,8962.000,10499.000,13892.000,16513.000,17701.000,18170.000,3.000,3.000,2.000,3.000,3.000
Nayarit,4836.000,7515.000,7621.000,10880.000,13354.000,12757.000,11478.000,2.000,2.000,6.000,4.000,4.000
Nuevo Leon,9073.000,11490.000,20117.000,28206.000,34856.000,34726.000,38672.000,1.000,1.000,5.000,2.000,2.000
Oaxaca,1892.000,4538.000,4140.000,5230.000,7730.000,8465.000,9010.000,5.000,5.000,7.000,5.000,5.000
Puebla,3569.000,6415.000,6542.000,9775.000,13374.000,11895.000,15685.000,3.000,3.000,2.000,3.000,5.000
Quertaro,11016.000,5560.000,7110.000,14073.000,20088.000,22441.000,26149.000,3.000,3.000,3.000,3.000,4.000
Quintana Roo,21965.000,28747.000,9677.000,17046.000,26695.000,25049.000,33442.000,6.000,5.000,4.000,5.000,5.000
San Luis Potosi,4372.000,7533.000,6440.000,9721.000,12691.000,15436.000,15866.000,2.000,2.000,3.000,4.000,4.000
Sinaloa,4840.000,6663.000,9613.000,14477.000,15312.000,15823.000,15242.000,2.000,2.000,6.000,1.000,1.000
Sonora,6399.000,10345.000,12134.000,22662.000,23181.000,24784.000,24068.000,1.000,1.000,5.000,1.000,1.000
Tabasco,2459.000,3857.000,6494.000,9367.000,42361.000,16055.000,13360.000,6.000,5.000,4.000,5.000,5.000
Tamaulipas,7508.000,8536.000,8383.000,17128.000,21937.000,19983.000,23546.000,1.000,1.000,5.000,2.000,2.000
Tlaxcala,3605.000,4178.000,4357.000,6245.000,9882.000,10339.000,11701.000,3.000,3.000,2.000,3.000,3.000
Veracruz,5203.000,10143.000,11404.000,12240.000,14252.000,13796.000,12191.000,3.000,3.000,4.000,5.000,5.000
Yucatan,7990.000,8428.000,10067.000,11665.000,15239.000,13979.000,17509.000,6.000,5.000,4.000,5.000,5.000
Zacatecas,3734.000,6435.000,5821.000,7426.000,8876.000,11656.000,11130.000,2.000,2.000,3.000,4.000,4.000
